train_index,average_score
0,186.31747436523438
1,1181.179443359375
2,1059.1983642578125
3,1023.6414184570312
4,701.0025024414062
5,1386.43310546875
6,-9622.041015625
7,-3641.015625
8,-7421.28369140625
9,-272.31463623046875
10,-2241.90283203125
11,6131.8720703125
12,2285.81396484375
13,7984.12353515625
14,928.0086059570312
15,264.0289611816406
16,604.5383911132812
17,795.1728515625
18,-1854.6949462890625
19,-7959.19775390625
20,733.2225341796875
21,-2558.6669921875
22,5.735253810882568
23,1449.5947265625
24,-278.05267333984375
25,-87.15419006347656
26,-926.5906372070312
27,-6042.51416015625
28,-1279.5205078125
29,-385.215576171875
30,-136.8837432861328
31,1132.086181640625
32,9636.361328125
33,298.72137451171875
34,3082.523193359375
35,874.830078125
36,346.32080078125
37,704.3671875
38,-849.5225830078125
39,-265.992919921875
40,218.96484375
41,-680.3221435546875
42,13371.140625
43,-2361.67529296875
44,-2603.084228515625
45,-1386.3013916015625
46,78201.75
47,-275.0428771972656
48,1515.302978515625
49,473.03973388671875
50,19883.341796875
51,868.3317260742188
52,-757.4277954101562
53,-3130.438720703125
54,89.0042953491211
55,2092.480712890625
56,-282.5267639160156
57,-2717.46826171875
58,768.654052734375
59,-3069.86767578125
60,564.4334716796875
61,-507.09210205078125
62,-4792.03271484375
63,-6730.9384765625
64,-531.3215942382812
65,1026.7642822265625
66,64637.71875
67,1415.796142578125
68,6031.6640625
69,647.1370239257812
70,-14314.0625
71,1094.014404296875
72,2121.46923828125
73,-2071.862060546875
74,-2485.60986328125
75,42.84552001953125
76,-3554.81005859375
77,388.38360595703125
78,1367.443115234375
79,368.51116943359375
80,3379.444580078125
81,-1087.125244140625
82,-248.22042846679688
83,1135.931640625
84,-1085.478759765625
85,410.1234436035156
86,-368.151123046875
87,22732.68359375
88,-2282.837646484375
89,672.6614379882812
90,-142.65908813476562
91,474.5450134277344
92,751.7819213867188
93,-2536.923095703125
94,-2386.5888671875
95,-8841.046875
96,950.9972534179688
97,3540.32666015625
98,709.1417846679688
99,18782.51953125
100,3668.32373046875
101,-1304.332275390625
102,1941.6383056640625
103,2289.8857421875
104,14900.2216796875
105,-198.78726196289062
106,2630704.0
107,-13417.859375
108,-1213.6953125
109,-2176.84130859375
110,640.2926635742188
111,6208.8330078125
112,17700.05078125
113,-1352.713134765625
114,275560.125
115,-2087.888427734375
116,-3346.66259765625
117,4494.74658203125
118,-6328.7900390625
119,492.78729248046875
120,4561.0
121,833.7711181640625
122,371.3819274902344
123,-285.9595642089844
124,33283.94921875
125,15136.9501953125
126,-5531.61767578125
127,10354.2353515625
128,1796.883544921875
129,1601.3016357421875
130,2913.09228515625
131,21051.150390625
132,-5059.49755859375
133,12500.623046875
134,120.7808837890625
135,1063.9278564453125
136,13309.2236328125
137,-1264.1014404296875
138,10493.4287109375
139,-1195.7764892578125
140,-3349.62353515625
141,-2754.80322265625
142,-1549.089111328125
143,219.3051300048828
144,-1378.9520263671875
145,806.4381103515625
146,-1596.7598876953125
147,-182191.953125
148,905.5535888671875
149,-44.42756271362305
150,74054.078125
151,-3267.10205078125
152,872.1056518554688
153,-1076.51611328125
154,454.2962951660156
155,-2608.189208984375
156,-3229.98291015625
157,1111.7613525390625
158,-1813.5072021484375
159,496.8390197753906
160,-271.8905944824219
161,-897.3388671875
162,-1186.953857421875
163,-8.4228515625
164,1012.7266845703125
165,2130.424072265625
166,577.8919677734375
167,2008.119140625
168,1030.566162109375
169,68359.515625
170,6285.138671875
171,259.79473876953125
172,1046.152587890625
173,-4147.77001953125
174,-1272.8619384765625
175,-2426.76513671875
176,143.70938110351562
177,919.6399536132812
178,-4426.51318359375
179,-437.0552673339844
180,-891.2926025390625
181,375.94403076171875
182,-216.0476531982422
183,1589.0452880859375
184,-1176.9013671875
185,-9263.2138671875
186,-4052.064453125
187,52485.08203125
188,692.38720703125
189,811.3728637695312
190,81.27751159667969
191,1112.085205078125
192,189.26675415039062
193,689.3894653320312
194,5646.28564453125
195,-5634.2509765625
196,1835.1148681640625
197,1970.000732421875
198,-377.6659851074219
199,5202.81689453125
200,-3386.72509765625
201,242.48690795898438
202,44.559326171875
203,641237.3125
204,12749.8330078125
205,-2952.601318359375
206,180.6629638671875
207,-168403.515625
208,-936.0685424804688
209,2219.3125
210,25366.48046875
211,-709.1923828125
212,-1272.1116943359375
213,-3586.259765625
214,398.87506103515625
215,2242.31982421875
216,-423.3389587402344
217,29.526525497436523
218,-605.0433349609375
219,-2164.763671875
220,144.92355346679688
221,7084.4453125
222,-804.6737060546875
223,-715.6468505859375
224,-1475.901611328125
225,2146.58642578125
226,-793.763671875
227,3303.203857421875
228,-5639.3603515625
229,377290.09375
230,-4425.9384765625
231,-202.33522033691406
232,-1109.978515625
233,-225.63037109375
234,1220.814208984375
235,-6935.2880859375
236,3345.214111328125
237,-3949.47705078125
238,-4832.2041015625
239,-951.5011596679688
240,279672.3125
241,-213.1309356689453
242,-3145.37109375
243,-4790.1513671875
244,1265.197998046875
245,-2964.046142578125
246,21131.068359375
247,-18398.2421875
248,5211.9306640625
249,-1270.4193115234375
250,-10107.51171875
251,-1313.669921875
252,482466.1875
253,1004.9593505859375
254,-37737.21484375
255,840.9265747070312
256,328.55987548828125
257,881.4691162109375
258,240.0260009765625
259,-11314.6689453125
260,4553.22802734375
261,-2721.244140625
262,-1926.691650390625
263,2706.343994140625
264,126302.0234375
265,2438.046875
266,822.1096801757812
267,886.5783081054688
268,-73.66398620605469
269,-516.2202758789062
270,-39445.94140625
271,6438.3486328125
272,938.5275268554688
273,841.4844970703125
274,-2703.42333984375
275,5221.7939453125
276,-679.4799194335938
277,3650.516357421875
278,309.9879455566406
279,6925.94921875
280,40544.92578125
281,3465.74560546875
282,882.01513671875
283,1706.060302734375
284,-2914.08935546875
285,-1500.52294921875
286,1255.263427734375
287,-5083.7421875
288,1355.56298828125
289,1841.333251953125
290,-953.9899291992188
291,92823.9453125
292,-112.02723693847656
293,2248.899658203125
294,112.0167465209961
295,452.6495056152344
296,-621.51416015625
297,-349.0316467285156
298,626.7760009765625
299,1521.322998046875
300,522.1968994140625
301,701.1651611328125
302,-973.1204833984375
303,5945.93359375
304,4572.2109375
305,-2136.801025390625
306,1069.58984375
307,204466.15625
308,-501.1776428222656
309,4555.0458984375
310,54.22380447387695
311,535.4326171875
312,77.4129867553711
313,-4099.6201171875
314,-3458.641845703125
315,1946.953857421875
316,1894.439697265625
317,-7524.41259765625
318,55.232269287109375
319,9074.09375
320,-22177.759765625
321,4382.50048828125
322,329.7987365722656
323,1602.329833984375
324,120.4503173828125
325,-717.8660888671875
326,-13193.8017578125
327,-122.09672546386719
328,111030.8515625
329,4746.7177734375
330,-976.4000244140625
331,1341.2957763671875
332,-1104.5877685546875
333,-814.5526733398438
334,538.6367797851562
335,830.4494018554688
336,1133.765869140625
337,2079.857421875
338,1553.315185546875
339,3189.23779296875
340,311.2421875
341,51762.8984375
342,683.3782958984375
343,511.4740295410156
344,42993.1484375
345,306619.5625
346,105.48530578613281
347,839.0223388671875
348,690.0767822265625
349,-178.71688842773438
350,-2399.77978515625
351,6858.51171875
352,39205.83203125
353,578.8936767578125
354,1180.1871337890625
355,-2494.30908203125
356,-792.8563232421875
357,-517.4886474609375
358,-1299.0950927734375
359,-801.5352783203125
360,-1235.040771484375
361,22.858983993530273
362,71.75963592529297
363,615.9931640625
364,20449.53515625
365,942.9508056640625
366,887.1395263671875
367,-6986.7744140625
368,883804.875
369,-2626.337890625
370,650.0911865234375
371,-253.1285858154297
372,92.90403747558594
373,-2036.962158203125
374,12136.599609375
375,-3199.15673828125
376,-577.9793701171875
377,-894.6060791015625
378,-1512.035888671875
379,1089.1439208984375
380,2105.459228515625
381,1388.2135009765625
382,858.3630981445312
383,-1886.861328125
384,739.4329833984375
385,-315.0355529785156
386,-5499.3349609375
387,-194.74978637695312
388,215.19058227539062
389,462.91204833984375
390,594.0006103515625
391,-788.861572265625
392,697.4344482421875
393,-440.84588623046875
394,-125.45589447021484
395,514.31103515625
396,-1107.6964111328125
397,-252.78890991210938
398,-17.499988555908203
399,2434.980712890625
400,609.0642700195312
401,-1000.0179443359375
402,4126.15185546875
403,681.4348754882812
404,-1090.588134765625
405,-1696.9976806640625
406,2105.744873046875
407,1150.2252197265625
408,-2061.77294921875
409,704.9722290039062
410,14708.9013671875
411,-773.8206176757812
412,1132.407470703125
413,2102.991455078125
414,1280.0926513671875
415,5115.4306640625
416,1377.712158203125
417,1204.866943359375
418,7532.7529296875
419,732.4012451171875
420,-1776.3560791015625
421,-401.24542236328125
422,15425.833984375
423,23318.021484375
424,-363.42510986328125
425,392.5081787109375
426,295.472900390625
427,1710.8345947265625
428,181041.65625
429,1938.6090087890625
430,-3705.483154296875
431,-2196.837890625
432,-2720.343994140625
433,-39.82881546020508
434,1884.124267578125
435,-178.82920837402344
436,24725.396484375
437,254.15646362304688
438,-3189.9599609375
439,1589.082275390625
440,-216.9210205078125
441,-1113.6219482421875
442,520.750244140625
443,4487158.0
444,-2251.37353515625
445,83268.5390625
446,-1412.6978759765625
447,397299.875
448,-774.237548828125
449,868.7630004882812
450,-182.02401733398438
451,-134.42401123046875
452,175.21737670898438
453,5801.8681640625
454,297.05401611328125
455,-155.75009155273438
456,-800.2804565429688
457,367.38970947265625
458,662.902587890625
459,-2387.782470703125
460,17490.35546875
461,-2555.155029296875
462,22637.65234375
463,658.4215087890625
464,-378.5367126464844
465,2802.234130859375
466,1316.364501953125
467,384.0643310546875
468,26250.6875
469,-782.5834350585938
470,-326.83563232421875
471,-3065.55126953125
472,-3762.31494140625
473,-1353.0625
474,-5180.9638671875
475,-360.29791259765625
476,653.7525634765625
477,412.55828857421875
478,262.6388244628906
479,-3302.93359375
480,777.51904296875
481,1383.48828125
482,-1155.384033203125
483,262.9624938964844
484,-1242.6490478515625
485,-2110.207275390625
486,-418.61505126953125
487,400.75909423828125
488,-1321.238525390625
489,1296.246337890625
490,1246.812744140625
491,19163.013671875
492,-66.30937194824219
493,-2142.562744140625
494,-1209.9517822265625
495,937.65869140625
496,-493.8954162597656
497,-7783.41162109375
498,-65.61366271972656
499,984.91845703125
500,-1871.200439453125
501,-1615.220703125
502,-1651.300048828125
503,-1065.475830078125
504,297.42413330078125
505,-2075.5087890625
506,-1142.5054931640625
507,595.6888427734375
508,-195.70458984375
509,-2131.24658203125
510,-991.36181640625
511,-249.2597198486328
512,147.9535369873047
513,-2082.3232421875
514,-2483.531494140625
515,276.9139404296875
516,491.4012145996094
517,-109.6547622680664
518,638.1568603515625
519,36.6990966796875
520,-1412.28466796875
521,-157.44528198242188
522,-236.8231201171875
523,2313.53857421875
524,647.8163452148438
525,1190.376708984375
526,1112.5301513671875
527,-2412.150146484375
528,288.4462890625
529,322.55328369140625
530,-1426.7572021484375
531,1071.760498046875
532,11236.298828125
533,178.84945678710938
534,663.9639892578125
535,-11082.595703125
536,369.24151611328125
537,234.5581817626953
538,1620.134765625
539,1371.9842529296875
540,1283.409912109375
541,138.5262908935547
542,2024.270263671875
543,748.4730224609375
544,19673.53515625
545,909.4666137695312
546,-384.1047668457031
547,591.6229248046875
548,-233.7395782470703
549,-1730.5491943359375
550,356579.15625
551,-1640.328125
552,709.0642700195312
553,2276.24267578125
554,-333.06378173828125
555,15461.822265625
556,-1480.460205078125
557,26717.57421875
558,-431.70745849609375
559,-2561.28759765625
560,-347.5518493652344
561,-1126.3580322265625
562,-2162.24853515625
563,1229.877197265625
564,-2364.47314453125
565,-905.3067626953125
566,-1618.5894775390625
567,1382.9169921875
568,-1118.3626708984375
569,2544.6796875
570,-67.64033508300781
571,-817.2415161132812
572,-1645.205078125
573,633.0076904296875
574,-1647.1949462890625
575,-751.7122192382812
576,-1276.121337890625
577,645700.625
578,2445.940185546875
579,348.6924133300781
580,496.013671875
581,931.21337890625
582,1886.2913818359375
583,-154482.28125
584,30424.51171875
585,224.00814819335938
586,494.7046813964844
587,-2485.535888671875
588,854.4307861328125
589,-379.150390625
590,-447.99285888671875
591,182.52069091796875
592,-434.7709045410156
593,1072.0521240234375
594,-1751.1011962890625
595,1699.2562255859375
596,8908.5458984375
597,-6364.13671875
598,-1229.44189453125
599,-34.504249572753906
600,-3806.228515625
601,861.68798828125
602,192.29147338867188
603,-394.735595703125
604,-21.593175888061523
605,38.72236251831055
606,781.689453125
607,5252.4404296875
608,2116.373779296875
609,26265.46484375
610,-782.8248901367188
611,-201.8900146484375
612,106320.0
613,2370.306396484375
614,34392.67578125
615,460.3028869628906
616,187977.828125
617,288.45513916015625
618,171.08164978027344
619,19789.3359375
620,-11694.3642578125
621,1040.5142822265625
622,503.99310302734375
623,-3861.83203125
624,-667.2255859375
625,-12.090374946594238
626,3654.571533203125
627,4146.0400390625
628,-1170.5986328125
629,138467.734375
630,-912.1964111328125
631,-1490.381103515625
632,818.7745971679688
633,805.1451416015625
634,1.737280249595642
635,26.291393280029297
636,575.0505981445312
637,-58.215553283691406
638,283.70782470703125
639,16301.123046875
640,728.6036376953125
641,1441.8165283203125
642,71.22834777832031
643,19366.974609375
644,15921.232421875
645,-741.8078002929688
646,-258.275390625
647,852.6343994140625
648,-305.07305908203125
649,822.6434326171875
650,10097.255859375
651,-6107.1201171875
652,65560.7890625
653,264.56121826171875
654,-1174.9267578125
655,-893.1170043945312
656,-16057.9375
657,-1933.2529296875
658,265.539306640625
659,397.30426025390625
660,-4530.99755859375
661,-2847.37353515625
662,-515.536865234375
663,1194.8931884765625
664,3049.293212890625
665,-565.7979736328125
666,226350.078125
667,247.4230499267578
668,1298.4600830078125
669,-198.9256591796875
670,33139.4140625
671,18615.962890625
672,354627.90625
673,-24156.615234375
674,12576.138671875
675,-5867.72119140625
676,658.1373291015625
677,-4407.8115234375
678,962.3031005859375
679,616.2515258789062
680,-409.9599609375
681,19052.416015625
682,-657208.375
683,21407.556640625
684,5905.4599609375
685,-434.8319396972656
686,1230.8228759765625
687,15232.9609375
688,8.303418159484863
689,57.2635612487793
690,-1420.8065185546875
691,12093.853515625
692,19315.88671875
693,-6807.32958984375
694,376.9508361816406
695,-1514.5235595703125
696,-104.59632873535156
697,13961.9765625
698,15045.1376953125
699,166.29049682617188
700,687.9846801757812
701,23752666.0
702,1105.26171875
703,4016.694091796875
704,235.37918090820312
705,-2829.897216796875
706,-5864.86767578125
707,2901.8037109375
708,-2010.4466552734375
709,119624.125
710,-1688.3984375
711,118.4764633178711
712,36658.0078125
713,-2988.69580078125
714,-1603.7821044921875
715,-799.8525390625
716,-1616.291748046875
717,-2039.0921630859375
718,-1700.7587890625
719,-27.030803680419922
720,-11535.1259765625
721,-2196.457763671875
722,660.6011352539062
723,3138.90966796875
724,-2937.988525390625
725,-47.51152420043945
726,426.63671875
727,-458.2373046875
728,-2271.185302734375
729,-1090.555908203125
730,4195.0908203125
731,-474.17138671875
732,-1973.0032958984375
733,-5659.4912109375
