train_index,average_score
0,20574.59765625
1,15709.7861328125
2,1251.5543212890625
3,33434.078125
4,-40948.7890625
5,7166.0009765625
6,10258.7529296875
7,13944.5234375
8,27415.3125
9,14271.634765625
10,5360.81982421875
11,10074.7041015625
12,4358.64208984375
13,13783.7548828125
14,16867.65234375
15,148046.625
16,4621.2783203125
17,4845.69091796875
18,17789.57421875
19,16099.833984375
20,9631.279296875
21,22665.98046875
22,12686.16015625
23,10428.423828125
24,19375.5234375
25,13578.7080078125
26,11623.583984375
27,10336.728515625
28,11744.19140625
29,7614.21630859375
30,11430.0859375
31,9422.4013671875
32,5574.5595703125
33,8364.185546875
34,7265.1640625
35,9363.4033203125
36,8751.974609375
37,8681.958984375
38,12581.1884765625
39,16218.0283203125
40,10329.755859375
41,18025.380859375
42,5554.6318359375
43,8393.3037109375
44,79100.828125
45,11860.498046875
46,11414.3916015625
47,32960.3828125
48,17314.73828125
49,17573.958984375
50,9999.8359375
51,14097.7548828125
52,18238.01171875
53,106237.046875
54,16234.4326171875
55,11534.248046875
56,6748.6328125
57,9856.830078125
58,13557.994140625
59,19761.140625
60,11985.927734375
61,8734.951171875
62,4056.044921875
63,11998.5283203125
64,46262.140625
65,10871.892578125
66,23594.01171875
67,12259.3076171875
68,10407.896484375
69,12332.765625
70,1777.522216796875
71,23768.05859375
72,7707.5625
73,28309.19140625
74,11063.818359375
75,18084.41015625
76,7160.6279296875
77,14150.412109375
78,5882.98583984375
79,221010.546875
80,11357.1884765625
81,10035.9921875
82,16508.353515625
83,6705.1923828125
84,10483.615234375
85,9279.4296875
86,14106.568359375
87,32250.08203125
88,18442.70703125
89,6093.9755859375
90,21403.662109375
91,22364.265625
92,16094.806640625
93,15996.0341796875
94,11270.994140625
95,13964.9970703125
96,45602.6796875
97,15909.681640625
98,8635.55859375
99,9005.6298828125
100,22648.806640625
101,7676.1142578125
102,5568.80224609375
103,21577.494140625
104,8718.2421875
105,6279.56103515625
106,6293.83447265625
107,9220.2783203125
108,6812.0126953125
109,15821.271484375
110,30454.53515625
111,18277.962890625
112,13092.560546875
113,13323.521484375
114,10391.744140625
115,8818.353515625
116,8993.240234375
117,19005.990234375
118,9430.0927734375
119,9266.4375
120,11973.615234375
121,8126.88916015625
122,13684.734375
123,15644.9248046875
124,13752.9501953125
125,7802.55712890625
126,11985.8486328125
127,21804.630859375
128,11006.01953125
129,16752.275390625
130,10700.1669921875
131,11149.642578125
132,61492.6484375
133,7868.7939453125
134,-2879.46533203125
135,10509.5830078125
136,-17832.0234375
137,5208.02099609375
138,17272.8203125
139,16570.921875
140,15367.4892578125
141,13941.9296875
142,14034.232421875
143,6160.640625
144,24817.755859375
145,9612.208984375
146,3929.42529296875
147,5656.130859375
148,22739.04296875
149,2723.51611328125
150,7738.1298828125
151,18891.16015625
152,23177.564453125
153,9987.1796875
154,16271.4658203125
155,13697.5283203125
156,1724.4609375
157,14844.400390625
158,47418.94921875
159,17589.728515625
160,15944.009765625
161,9717.8779296875
162,13067.4736328125
163,-61583.4921875
164,5932.4462890625
165,14767.2783203125
166,6884.3720703125
167,10834.791015625
168,36400.6015625
169,2999.382568359375
170,10634.7138671875
171,153049.203125
172,20524.46875
173,15810.8564453125
174,10889.9892578125
175,36522.69921875
176,8051.49365234375
177,34083.08984375
178,23866.013671875
179,9249.9375
180,6606.20166015625
181,2485.925048828125
182,6005.25927734375
183,2069.03564453125
