train_index,average_score
0,20929.388671875
1,27821.91796875
2,17793.458984375
3,19392.416015625
4,23058.30078125
5,9841.8623046875
6,8008.2939453125
7,21148.978515625
8,11806.7197265625
9,27164.08203125
10,5088.66748046875
11,6151.73583984375
12,9276.755859375
13,15825.8779296875
14,18198.419921875
15,-32177.119140625
16,3522.046142578125
17,294.9554748535156
18,14034.125
19,14068.072265625
20,11672.888671875
21,16057.6171875
22,10365.0205078125
23,14261.748046875
24,19052.462890625
25,7547.8310546875
26,15392.806640625
27,7883.23681640625
28,12852.4658203125
29,4090.38623046875
30,8878.626953125
31,8953.6279296875
32,7072.54296875
33,4689.73046875
34,8205.1640625
35,8786.234375
36,10168.955078125
37,5636.7509765625
38,11847.546875
39,15204.3623046875
40,13370.5498046875
41,27641.837890625
42,3612.87646484375
43,9604.814453125
44,77994.5625
45,10379.0361328125
46,3223.49560546875
47,31872.525390625
48,15159.3232421875
49,16799.00390625
50,25573.19140625
51,6108.35302734375
52,22550.927734375
53,137189.65625
54,66759.4375
55,7153.4384765625
56,3878.37939453125
57,11690.9052734375
58,13653.865234375
59,15524.7626953125
60,16899.5
61,3941.67041015625
62,4822.6474609375
63,10172.724609375
64,31019.60546875
65,11043.857421875
66,26745.23828125
67,12902.2734375
68,6366.6708984375
69,20987.7578125
70,1218.857666015625
71,19189.134765625
72,3451.42724609375
73,25346.66015625
74,11676.4326171875
75,19728.02734375
76,11080.4306640625
77,17826.68359375
78,7019.65478515625
79,-16660.07421875
80,8263.4189453125
81,7988.5322265625
82,26486.66796875
83,3460.013671875
84,9413.494140625
85,16786.5703125
86,9884.66015625
87,27839.21875
88,22912.6015625
89,7602.12744140625
90,22526.544921875
91,21117.76953125
92,20525.77734375
93,11953.8232421875
94,12731.5498046875
95,10467.515625
96,-594.0654296875
97,15168.09375
98,10769.1328125
99,6625.69287109375
100,13879.25
101,17758.44140625
102,10249.0048828125
103,26922.947265625
104,10188.265625
105,4178.33251953125
106,5732.3642578125
107,7881.2685546875
108,6447.2724609375
109,16281.591796875
110,24055.56640625
111,18033.515625
112,10130.8935546875
113,12460.826171875
114,14578.728515625
115,9046.0888671875
116,16546.19921875
117,14830.1435546875
118,14659.865234375
119,8497.4404296875
120,11644.5546875
121,12376.5654296875
122,16317.240234375
123,10138.16015625
124,15300.5595703125
125,14863.4404296875
126,5743.7216796875
127,18096.779296875
128,6754.26416015625
129,12443.251953125
130,7525.1787109375
131,11941.384765625
132,50532.7734375
133,9479.544921875
134,8501.583984375
135,4432.8349609375
136,-20699.671875
137,11615.5791015625
138,14703.4658203125
139,17101.974609375
140,14107.8720703125
141,19989.181640625
142,12489.52734375
143,3595.033935546875
144,15363.806640625
145,31274.08203125
146,15624.2158203125
147,7593.7861328125
148,20937.87109375
149,3065.84814453125
150,4608.5908203125
151,21298.91015625
152,28266.83984375
153,11666.9599609375
154,18158.474609375
155,32403.47265625
156,12760.2109375
157,13695.7109375
158,32113.396484375
159,19523.60546875
160,10636.830078125
161,5416.1494140625
162,12356.46875
163,-14426.0751953125
164,5592.3271484375
165,14999.3544921875
166,8944.7373046875
167,11901.2314453125
168,34216.94140625
169,4367.650390625
170,12935.7060546875
171,-88434.953125
172,27037.8125
173,18528.94921875
174,9107.0390625
175,35265.7421875
176,10987.287109375
177,-61614.25
178,26453.60546875
179,14793.3984375
180,6733.5947265625
181,9033.1044921875
182,11705.4326171875
183,773.7092895507812
184,5842.58984375
185,10689.1279296875
186,13239.0751953125
187,4126.4658203125
188,6096.8310546875
189,9026.984375
190,7484.0458984375
191,1432.289794921875
192,6884.9345703125
193,7840.7724609375
194,5882.63427734375
195,8239.689453125
196,11289.375
197,6427.203125
198,3574.328857421875
199,22267.52734375
200,27920.04296875
201,21335.498046875
202,22302.609375
203,19293.64453125
204,302722.40625
205,6699.60302734375
206,19297.337890625
207,20048.265625
208,19526.12890625
209,11685.9091796875
